date,VNINDEX_close,VNINDEX_volume,VN30_close,VN30_volume,HNXINDEX_close,HNXINDEX_volume,UPCOMINDEX_close,UPCOMINDEX_volume,MBB_close,MBB_volume
2021-01-04,1120.47,670280100.0,1091.87,233730100.0,206.28,106271330.0,74.2,50949119.0,8.01,42370800.0
2021-01-05,1132.55,673728400.0,1104.3,191641100.0,208.13,123520433.0,74.43,46570926.0,8.41,34044900.0
2021-01-06,1143.21,688438500.0,1113.72,225226500.0,211.68,126097649.0,74.82,53834857.0,8.46,22063300.0
2021-01-07,1156.49,685553900.0,1130.59,215401400.0,215.79,146687275.0,75.19,51635194.0,8.66,18918200.0
2021-01-08,1167.69,726084300.0,1147.86,220086200.0,217.4,165060870.0,76.07,102175816.0,8.89,25861800.0
2021-01-11,1184.89,737563100.0,1163.4,222792000.0,219.12,137969521.0,76.95,55826425.0,8.81,23381600.0
2021-01-12,1192.28,643621500.0,1169.03,202517400.0,221.97,166570688.0,77.89,63161622.0,8.74,16552100.0
2021-01-13,1186.05,710219700.0,1164.57,187356100.0,222.49,197181639.0,77.93,60814612.0,8.69,18649800.0
2021-01-14,1187.4,709253600.0,1168.99,229616000.0,222.27,124683342.0,77.75,50679488.0,8.83,20138800.0
2021-01-15,1194.2,715687900.0,1182.2,211717400.0,225.47,174574053.0,78.64,93823029.0,8.94,19922700.0
2021-01-18,1191.94,677474100.0,1173.34,199288900.0,230.5,155722835.0,78.55,62800948.0,8.76,13838300.0
2021-01-19,1131.0,888174700.0,1107.32,324705300.0,224.02,263670027.0,76.15,91428865.0,8.16,22184900.0
2021-01-20,1134.68,769795300.0,1116.21,262600200.0,233.26,172499955.0,76.18,53854642.0,8.16,23198100.0
2021-01-21,1164.21,639454800.0,1151.3,204600400.0,240.27,128159184.0,77.46,51595737.0,8.63,14714600.0
2021-01-22,1166.78,691689100.0,1156.58,210394400.0,240.12,144572240.0,77.6,101212201.0,8.56,12400500.0
2021-01-25,1166.05,639736600.0,1154.29,198478400.0,231.84,146309937.0,77.42,52771354.0,8.43,10924900.0
2021-01-26,1136.12,719767100.0,1125.09,236714100.0,227.82,183503721.0,76.42,64756437.0,8.56,19797100.0
2021-01-27,1097.17,719150000.0,1083.63,241013700.0,220.79,137352831.0,74.46,55972936.0,8.02,22798000.0
2021-01-28,1023.94,669631000.0,1010.75,282129400.0,203.05,119345337.0,69.12,59166099.0,7.47,20362200.0
