date,VNINDEX_close,VNINDEX_volume,VN30_close,VN30_volume,HNXINDEX_close,HNXINDEX_volume,UPCOMINDEX_close,UPCOMINDEX_volume,HPG_close,HPG_volume
2012-03-01,427.95,58982220.0,491.01,22342000.0,69.58,62875700.0,34.62,238600.0,0.98,622020.0
2012-03-02,439.6,74979590.0,503.54,26665530.0,71.72,71804400.0,34.88,422200.0,1.0,838520.0
2012-03-05,457.21,65544530.0,524.94,29555260.0,75.78,33108500.0,35.4,338800.0,1.05,933110.0
2012-03-06,445.0,143229740.0,508.41,45858720.0,75.2,173044800.0,35.08,582000.0,1.02,1259710.0
2012-03-07,444.02,97945750.0,505.9,36337800.0,75.03,115357200.0,34.88,246500.0,1.03,1115590.0
2012-03-08,431.66,83407280.0,489.05,28423440.0,71.83,93113800.0,34.74,164300.0,0.98,1247170.0
2012-03-09,432.11,71638930.0,487.03,24564720.0,71.56,65531500.0,34.58,162000.0,0.98,1305980.0
2012-03-12,428.02,68550570.0,482.65,25924400.0,69.26,52103000.0,34.3,211100.0,0.93,551660.0
2012-03-13,429.39,58475180.0,486.42,21389800.0,70.54,74815100.0,34.39,124400.0,0.94,396370.0
2012-03-14,433.86,59926960.0,491.23,21343890.0,69.28,63698700.0,34.5,102900.0,0.94,645070.0
2012-03-15,441.85,88589620.0,502.82,38683080.0,72.19,112007100.0,34.61,137600.0,0.98,1114900.0
2012-03-16,438.52,105559940.0,496.87,51785610.0,72.76,98470300.0,34.76,194800.0,0.94,1494450.0
2012-03-19,438.07,51449420.0,497.22,19375210.0,72.9,75810100.0,34.9,216600.0,0.95,871300.0
2012-03-20,440.29,56347500.0,501.29,20306320.0,74.39,74914300.0,34.87,226800.0,0.97,602110.0
2012-03-21,445.77,95897710.0,506.8,34696070.0,75.66,98618600.0,35.11,310200.0,0.99,1049380.0
2012-03-22,445.67,76080350.0,505.54,24700500.0,76.11,99587800.0,34.93,265500.0,0.98,495980.0
2012-03-23,454.1,85360500.0,512.84,26117150.0,77.57,113984900.0,35.11,249200.0,0.98,486730.0
2012-03-26,459.26,89726030.0,517.27,28753200.0,77.72,99571300.0,35.1,415200.0,0.98,412710.0
2012-03-27,445.9,115772320.0,502.41,33826440.0,74.95,116383800.0,35.12,364200.0,0.97,964010.0
2012-03-28,446.32,76397450.0,504.54,20095550.0,75.53,102152400.0,35.08,419400.0,0.97,282250.0
2012-03-29,439.63,71130040.0,498.48,23528960.0,73.2,93047200.0,35.15,279400.0,0.97,438730.0
2012-03-30,441.03,61661800.0,500.07,19134730.0,72.2,71111100.0,35.03,149200.0,0.98,685020.0
2012-04-02,441.03,61661800.0,500.07,19134730.0,72.2,71111100.0,35.03,149200.0,0.98,685020.0
2012-04-03,445.77,54047250.0,505.77,16311770.0,74.49,63195000.0,35.09,222800.0,0.99,359930.0
2012-04-04,439.77,48957860.0,500.28,15528440.0,73.25,75714400.0,35.1,129100.0,0.98,383960.0
2012-04-05,444.93,55823460.0,507.35,22504320.0,74.82,74057800.0,34.85,102000.0,1.0,682420.0
2012-04-06,447.44,69734180.0,511.51,29506930.0,74.69,80187100.0,34.85,141700.0,0.98,338470.0
2012-04-09,450.73,63077480.0,515.64,22525740.0,76.28,65947600.0,34.89,148300.0,0.98,644600.0
2012-04-10,450.85,80453480.0,517.4,27702170.0,75.41,83552400.0,35.02,108500.0,1.0,841980.0
2012-04-11,458.74,88529490.0,527.63,31311990.0,77.51,93805200.0,35.07,129800.0,1.05,2889250.0
2012-04-12,465.26,97343440.0,537.28,35158140.0,78.54,114846500.0,34.89,368700.0,1.1,2040120.0
2012-04-13,462.52,118538940.0,532.3,39331780.0,78.38,103002800.0,34.77,414500.0,1.09,1362440.0
2012-04-16,468.26,81922440.0,539.17,28106250.0,80.37,88874700.0,34.92,236800.0,1.14,661150.0
